name_display,product_url,category,category_url,active_substance,atc_code,confidence
"WALA Euphrasia Augentropfen 30X0,5 ml",https://www.docmorris.de/wala-euphrasia-augentropfen/01448168,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Fenistil Gel 30 g,https://www.docmorris.de/fenistil-gel/12550409,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
"Nasenspray sine AL 0,5 mg / ml Nasenspray, Lösung 10 ml",https://www.docmorris.de/nasenspray-sine-al-05-mg-ml-nasenspray-loesung/12464118,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
CETIRIZIN ADGC Allergietabletten 100 St,https://www.docmorris.de/cetirizin-adgc-allergietabletten/02663704,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Cetirizine,R06AE07,0.9
Cetirizin axicur 10mg Allergietabletten 100 St,https://www.docmorris.de/cetirizin-axicur-10mg-allergietabletten/14293520,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Cetirizine,R06AE07,0.9
LoranoPro 5mg Allergietabletten 50 St,https://www.docmorris.de/loranopro-5mg-allergietabletten/10090197,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
ALLERGIKA Augenlidcreme MED 15 ml,https://www.docmorris.de/allergika-augenlidcreme-med/16789751,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
GeloSitin Nasenpflege 15 ml,https://www.docmorris.de/gelositin-nasenpflege/03941654,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
"FeniHydrocort Creme 0,5 % 30 g",https://www.docmorris.de/fenihydrocort-creme-05-/10796974,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Mometason Adgc 50ug/sp 60 Nasenspray 10 g,https://www.docmorris.de/mometason-adgc-50ugsp-60-nasenspray/17440275,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Mometasone,R01AD09,0.9
Mometahexal Heuschnupfenspray 18 g,https://www.docmorris.de/mometahexal-heuschnupfenspray/11697286,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Desloratadin Aristo 5mg Antihistaminikum 100 St,https://www.docmorris.de/desloratadin-aristo-5mg-antihistaminikum/11294329,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Loratadine,R06AX13,0.9
Zinkorot 25 mg Tabletten 100 St,https://www.docmorris.de/zinkorot-25-mg-tabletten/18082903,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Loratadin axicur 10 mg Allergietabletten 100 St,https://www.docmorris.de/loratadin-axicur-10-mg-allergietabletten/14293796,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Loratadine,R06AX13,0.9
Cetirizin AL Filmtabletten 100 St,https://www.docmorris.de/cetirizin-al-filmtabletten/02406611,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Cetirizine,R06AE07,0.9
LORA ADGC Allergietabletten 100 St,https://www.docmorris.de/lora-adgc-allergietabletten/03897189,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
La Roche Posay Toleriane Sensitive Creme 40 ml,https://www.docmorris.de/la-roche-posay-toleriane-sensitive-creme/15293746,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
"Vividrin iso EDO antiallergische Augentr 20X0,5 ml",https://www.docmorris.de/vividrin-iso-edo-antiallergische-augentr/18735794,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
"Soventol HydroCort 0,5% Creme 30 g",https://www.docmorris.de/soventol-hydrocort-05-creme/04465138,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Cetirizin AbZ 10 mg Allergietabletten 100 St,https://www.docmorris.de/cetirizin-abz-10-mg-allergietabletten/06716159,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Cetirizine,R06AE07,0.9
Fenistil Kühl Roll-on 8 ml,https://www.docmorris.de/fenistil-kuehl-rollon/04074946,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
"Hydrocortison AL 0,5% Creme 30 g",https://www.docmorris.de/hydrocortison-al-05-creme/14372283,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
CetiDex 10mg Antiallergikum 100 St,https://www.docmorris.de/cetidex-10mg-antiallergikum/08892133,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Allegra Allergietabletten 20 mg 50 St,https://www.docmorris.de/allegra-allergietabletten-20-mg/18113578,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Fenistil Tropfen Antiallergikum 20 ml,https://www.docmorris.de/fenistil-tropfen-antiallergikum/01329096,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Momeallerg Nasenspray 50 µg 18 g,https://www.docmorris.de/momeallerg-nasenspray-50-g/12409645,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Lorano akut Antiallergikum 100 St,https://www.docmorris.de/lorano-akut-antiallergikum/07224435,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Cetirizin HEXAL Allergietabletten 100 St,https://www.docmorris.de/cetirizin-hexal-allergietabletten/01830229,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Cetirizine,R06AE07,0.9
"Cromo ratiopharm Augentropfen Einzeldosis 20X0,5 ml",https://www.docmorris.de/cromo-ratiopharm-augentropfen-einzeldosis/04884527,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Vividrin Azelastin Nasenspray Akuthilfe 10 ml,https://www.docmorris.de/vividrin-azelastin-nasenspray-akuthilfe/12910552,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Azelastine,R01AC03,0.9
Hylo Care 2X10 ml,https://www.docmorris.de/hylo-care/01632995,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Livocab® direkt Kombi Augentropfen & Nasenspray 1 P,https://www.docmorris.de/livocab-direkt-kombi-augentropfen-nasenspray/00676789,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,,,0.0
Desloratadin-ADGC 5mg Antihistaminikum 100 St,https://www.docmorris.de/desloratadinadgc-5mg-antihistaminikum/17145955,AllergieAllergie,https://www.docmorris.de/arzneimittel-gesundheit/allergie,Loratadine,R06AX13,0.9
